=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015MAY30 093000  4.1  986.1  67.4  4.1 4.1 3.7  MW   ON  OFF  -62.76 -73.72  EMBC     NA    6.1   13.84  115.53  SPRL   GOES15 27.7 MWinit1=3.83.73.8
2015MAY30 100000  4.1  987.0  67.4  4.1 4.1 3.8  MW   ON  OFF  -66.76 -75.19  EMBC     NA    6.1   13.85  115.55  SPRL   GOES15 27.7 MWinit1=3.83.73.8
2015MAY30 103000  4.1  987.0  67.4  4.1 4.1 3.7  MW   ON  OFF  -71.66 -76.18  EMBC     NA    6.1   13.99  115.59  SPRL   GOES15 27.8 MWinit1=3.83.73.8
2015MAY30 110000  4.1  987.0  67.4  4.1 4.1 3.8  MW   ON  OFF  -69.76 -76.01  EMBC     NA    6.1   13.94  115.53  SPRL   GOES15 27.8 MWinit1=3.83.73.8
2015MAY30 113000  4.2  985.3  69.8  4.2 4.2 3.7  MW   ON  OFF  -68.46 -74.85  EMBC     NA    6.1   14.08  115.68  SPRL   GOES15 27.7 MWinit1=3.83.73.8
2015MAY30 120000  4.2  985.3  69.8  4.2 4.2 3.7  MW  OFF  OFF  -68.06 -74.27  EMBC     NA    6.1   14.12  115.72  SPRL   GOES15 27.7 MWinit1=3.83.83.8
2015MAY30 123000  4.2  985.2  69.8  4.2 4.2 3.7  MW  OFF  OFF  -65.06 -73.61  EMBC     NA    6.1   14.17  115.77  SPRL   GOES15 27.7 MWinit1=3.83.83.8
2015MAY30 130000  4.2  985.3  69.8  4.2 4.2 3.7  MW  OFF  OFF  -56.96 -72.79  EMBC     NA    6.1   14.11  115.81  SPRL   GOES15 27.6 MWinit1=3.83.83.8
2015MAY30 133000  4.3  983.5  72.2  4.3 4.3 6.2  MW  OFF  OFF  -21.98 -73.22  EYEP  -99    6.1   14.16  115.85  SPRL   GOES15 27.6 MWinit1=4.33.83.8
2015MAY30 140000  4.3  983.5  72.2  4.3 4.3 3.7  MW  OFF  OFF  -62.36 -72.96  UNIFRM   NA    6.1   14.20  115.79  SPRL   GOES15 27.7 MWinit1=3.83.83.8
2015MAY30 143000  4.3  983.5  72.2  4.3 4.3 3.7  MW     OFF  OFF  -62.76 -72.18  UNIFRM   NA   48.7   14.25  115.84  SPRL   GOES15 27.7 
2015MAY30 150000  4.3  983.4  72.2  4.3 4.3 3.7  MW     OFF  OFF  -57.56 -72.37  EMBC     NA   26.6   14.39  115.88  SPRL   GOES15 27.8 
2015MAY30 153000  4.3  983.5  72.2  4.3 4.3 3.7  MW     OFF  OFF  -61.96 -72.04  EMBC     NA   26.6   14.34  115.92  SPRL   GOES15 27.7 
2015MAY30 160000  4.4  980.7  74.6  4.4 4.4 3.7  MW     OFF  OFF  -62.36 -72.35  UNIFRM   NA   26.6   14.45  116.05  SPRL   GOES15 27.6 
2015MAY30 163000  4.4  980.7  74.6  4.4 4.4 3.7  MW     OFF  OFF  -60.86 -71.12  UNIFRM   NA   26.6   14.49  116.00  SPRL   GOES15 27.7 
2015MAY30 170000  4.4  980.7  74.6  4.4 4.4 3.7  MW     OFF  OFF  -56.26 -70.17  UNIFRM   NA   26.6   14.53  116.15  SPRL   GOES15 27.6 
2015MAY30 173000  4.4  980.6  74.6  4.4 4.4 3.7  MW     OFF  OFF  -54.26 -69.06  UNIFRM   NA   26.6   14.57  116.10  SPRL   GOES15 27.7 
2015MAY30 180000  4.4  980.6  74.6  4.4 4.4 5.7  MW     OFF  OFF  -42.86 -69.40  EYE    -99   26.6   14.60  116.15  SPRL   GOES15 27.7 
